[21/May/2017 10:01:45] ERROR [django.security.DisallowedHost:216] Invalid HTTP_HOST header: '127.0.0.1:8000'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
[21/May/2017 10:01:45] ERROR [django.security.DisallowedHost:216] Invalid HTTP_HOST header: '127.0.0.1:8000'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
[21/May/2017 10:01:59] DEBUG [django.db.backends:89] (0.002) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT COUNT(*) AS "__count" FROM "myproject_course_detail" INNER JOIN "myproject_course_detail_categories" ON ("myproject_course_detail"."id" = "myproject_course_detail_categories"."course_detail_id") WHERE "myproject_course_detail_categories"."category_id" = 25; args=(25,)
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT COUNT(*) AS "__count" FROM "myproject_course_detail" INNER JOIN "myproject_course_detail_categories" ON ("myproject_course_detail"."id" = "myproject_course_detail_categories"."course_detail_id") WHERE "myproject_course_detail_categories"."category_id" = 26; args=(26,)
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT "myproject_category"."id", "myproject_category"."category_id", "myproject_category"."title", "myproject_category"."slug", "myproject_category"."default_id", "myproject_category"."active", "myproject_category"."timestamp" FROM "myproject_category" WHERE "myproject_category"."category_id" = 3 ORDER BY "myproject_category"."id" ASC; args=(3,)
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT COUNT(*) AS "__count" FROM "myproject_course_detail" INNER JOIN "myproject_course_detail_categories" ON ("myproject_course_detail"."id" = "myproject_course_detail_categories"."course_detail_id") WHERE "myproject_course_detail_categories"."category_id" = 27; args=(27,)
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT COUNT(*) AS "__count" FROM "myproject_course_detail" INNER JOIN "myproject_course_detail_categories" ON ("myproject_course_detail"."id" = "myproject_course_detail_categories"."course_detail_id") WHERE "myproject_course_detail_categories"."category_id" = 28; args=(28,)
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT COUNT(*) AS "__count" FROM "myproject_course_detail" INNER JOIN "myproject_course_detail_categories" ON ("myproject_course_detail"."id" = "myproject_course_detail_categories"."course_detail_id") WHERE "myproject_course_detail_categories"."category_id" = 29; args=(29,)
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT COUNT(*) AS "__count" FROM "myproject_course_detail" INNER JOIN "myproject_course_detail_categories" ON ("myproject_course_detail"."id" = "myproject_course_detail_categories"."course_detail_id") WHERE "myproject_course_detail_categories"."category_id" = 30; args=(30,)
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT "myproject_category"."id", "myproject_category"."category_id", "myproject_category"."title", "myproject_category"."slug", "myproject_category"."default_id", "myproject_category"."active", "myproject_category"."timestamp" FROM "myproject_category" WHERE "myproject_category"."category_id" = 4 ORDER BY "myproject_category"."id" ASC; args=(4,)
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT COUNT(*) AS "__count" FROM "myproject_course_detail" INNER JOIN "myproject_course_detail_categories" ON ("myproject_course_detail"."id" = "myproject_course_detail_categories"."course_detail_id") WHERE "myproject_course_detail_categories"."category_id" = 4; args=(4,)
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT COUNT(*) AS "__count" FROM "myproject_course_detail" INNER JOIN "myproject_course_detail_categories" ON ("myproject_course_detail"."id" = "myproject_course_detail_categories"."course_detail_id") WHERE "myproject_course_detail_categories"."category_id" = 5; args=(5,)
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT COUNT(*) AS "__count" FROM "myproject_course_detail" INNER JOIN "myproject_course_detail_categories" ON ("myproject_course_detail"."id" = "myproject_course_detail_categories"."course_detail_id") WHERE "myproject_course_detail_categories"."category_id" = 31; args=(31,)
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT COUNT(*) AS "__count" FROM "myproject_course_detail" INNER JOIN "myproject_course_detail_categories" ON ("myproject_course_detail"."id" = "myproject_course_detail_categories"."course_detail_id") WHERE "myproject_course_detail_categories"."category_id" = 32; args=(32,)
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT COUNT(*) AS "__count" FROM "myproject_course_detail" INNER JOIN "myproject_course_detail_categories" ON ("myproject_course_detail"."id" = "myproject_course_detail_categories"."course_detail_id") WHERE "myproject_course_detail_categories"."category_id" = 33; args=(33,)
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT COUNT(*) AS "__count" FROM "myproject_course_detail" INNER JOIN "myproject_course_detail_categories" ON ("myproject_course_detail"."id" = "myproject_course_detail_categories"."course_detail_id") WHERE "myproject_course_detail_categories"."category_id" = 34; args=(34,)
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT COUNT(*) AS "__count" FROM "myproject_course_detail" INNER JOIN "myproject_course_detail_categories" ON ("myproject_course_detail"."id" = "myproject_course_detail_categories"."course_detail_id") WHERE "myproject_course_detail_categories"."category_id" = 35; args=(35,)
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT COUNT(*) AS "__count" FROM "myproject_course_detail" INNER JOIN "myproject_course_detail_categories" ON ("myproject_course_detail"."id" = "myproject_course_detail_categories"."course_detail_id") WHERE "myproject_course_detail_categories"."category_id" = 36; args=(36,)
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT "myproject_category"."id", "myproject_category"."category_id", "myproject_category"."title", "myproject_category"."slug", "myproject_category"."default_id", "myproject_category"."active", "myproject_category"."timestamp" FROM "myproject_category" WHERE "myproject_category"."category_id" = 5 ORDER BY "myproject_category"."id" ASC; args=(5,)
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT COUNT(*) AS "__count" FROM "myproject_course_detail" INNER JOIN "myproject_course_detail_categories" ON ("myproject_course_detail"."id" = "myproject_course_detail_categories"."course_detail_id") WHERE "myproject_course_detail_categories"."category_id" = 37; args=(37,)
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT COUNT(*) AS "__count" FROM "myproject_course_detail" INNER JOIN "myproject_course_detail_categories" ON ("myproject_course_detail"."id" = "myproject_course_detail_categories"."course_detail_id") WHERE "myproject_course_detail_categories"."category_id" = 38; args=(38,)
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT COUNT(*) AS "__count" FROM "myproject_course_detail" INNER JOIN "myproject_course_detail_categories" ON ("myproject_course_detail"."id" = "myproject_course_detail_categories"."course_detail_id") WHERE "myproject_course_detail_categories"."category_id" = 39; args=(39,)
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT COUNT(*) AS "__count" FROM "myproject_course_detail" INNER JOIN "myproject_course_detail_categories" ON ("myproject_course_detail"."id" = "myproject_course_detail_categories"."course_detail_id") WHERE "myproject_course_detail_categories"."category_id" = 40; args=(40,)
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT COUNT(*) AS "__count" FROM "myproject_course_detail" INNER JOIN "myproject_course_detail_categories" ON ("myproject_course_detail"."id" = "myproject_course_detail_categories"."course_detail_id") WHERE "myproject_course_detail_categories"."category_id" = 41; args=(41,)
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT COUNT(*) AS "__count" FROM "myproject_course_detail" INNER JOIN "myproject_course_detail_categories" ON ("myproject_course_detail"."id" = "myproject_course_detail_categories"."course_detail_id") WHERE "myproject_course_detail_categories"."category_id" = 42; args=(42,)
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT COUNT(*) AS "__count" FROM "myproject_course_detail" INNER JOIN "myproject_course_detail_categories" ON ("myproject_course_detail"."id" = "myproject_course_detail_categories"."course_detail_id") WHERE "myproject_course_detail_categories"."category_id" = 43; args=(43,)
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT COUNT(*) AS "__count" FROM "myproject_course_detail" INNER JOIN "myproject_course_detail_categories" ON ("myproject_course_detail"."id" = "myproject_course_detail_categories"."course_detail_id") WHERE "myproject_course_detail_categories"."category_id" = 44; args=(44,)
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT COUNT(*) AS "__count" FROM "myproject_course_detail" INNER JOIN "myproject_course_detail_categories" ON ("myproject_course_detail"."id" = "myproject_course_detail_categories"."course_detail_id") WHERE "myproject_course_detail_categories"."category_id" = 45; args=(45,)
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT COUNT(*) AS "__count" FROM "myproject_course_detail" INNER JOIN "myproject_course_detail_categories" ON ("myproject_course_detail"."id" = "myproject_course_detail_categories"."course_detail_id") WHERE "myproject_course_detail_categories"."category_id" = 46; args=(46,)
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT COUNT(*) AS "__count" FROM "myproject_course_detail" INNER JOIN "myproject_course_detail_categories" ON ("myproject_course_detail"."id" = "myproject_course_detail_categories"."course_detail_id") WHERE "myproject_course_detail_categories"."category_id" = 47; args=(47,)
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT COUNT(*) AS "__count" FROM "myproject_course_detail" INNER JOIN "myproject_course_detail_categories" ON ("myproject_course_detail"."id" = "myproject_course_detail_categories"."course_detail_id") WHERE "myproject_course_detail_categories"."category_id" = 48; args=(48,)
[21/May/2017 10:02:00] DEBUG [django.db.backends:89] (0.000) SELECT COUNT(*) AS "__count" FROM "myproject_course_detail" INNER JOIN "myproject_course_detail_categories" ON ("myproject_course_detail"."id" = "myproject_course_detail_categories"."course_detail_id") WHERE "myproject_course_detail_categories"."category_id" = 49; args=(49,)
